YORF	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YDR532C	-0.47	 0.01	-0.18	 0.06	-0.74	 0.24	-0.47	 0.14	-0.34	 0.04	-0.25	-0.04	-0.06	-0.22	-0.32	-0.03	-0.17	-0.18	-0.62	 0.15	-0.03	-1.18	 0.48	-0.97	 0.42	-1.06	-0.23	 0.29	-0.32	-0.10	 0.31	-0.14	-1.03	-0.45	 0.25	-1.29	 0.33	-0.92	 0.75	 0.96	-0.92	-0.74	-0.51	 0.45	 0.30	 0.19	 0.21	 0.08	 0.07	 0.18	 0.04	-0.20	-0.06	 0.25	-0.36	-0.25	 0.03	-0.30	 0.12	-0.34	-0.04	-0.56	-0.10	-0.18	 0.10	-0.01	-0.04	-0.22	 0.21	 0.62	 0.53	 0.55	-0.20	-0.06	-0.09	 0.15	-0.04	-0.15	 0.39	 0.25
YER082C	 0.03	-0.74	-0.67	-0.23	-0.06		 0.21	-0.09	-0.03	 0.16	-1.12	-0.03	-0.23	-0.23	-0.27	-0.23	 0.01	-0.01	-0.30	 0.15	-0.12	-0.58	 0.93	-0.64	 0.63	-1.18	 0.40	 0.48	-0.51	-0.43	 1.06	 0.36	-0.84	 0.36	 0.88	-1.32	 0.68	-0.62	 1.32	 0.92	-0.71	-0.54	-0.84	-0.76	-0.74	-0.32	-0.10	 0.43	 0.37	-0.20	 0.06	-0.04	 0.20	-0.17	-0.43	-0.42	-0.10	-0.69	-0.79	-0.38	-0.17	-2.25	-1.40	-0.67	-1.18	-0.81	-0.67	-1.06	-0.71	-0.04	-2.18	-1.60	-0.54	-0.07	-0.29	 0.14	-0.74	-0.81	-0.69	-1.32
YER155C	 0.16		 0.00	 0.37	 0.49	-0.01	 0.40	 0.39	-0.09	 0.01	 0.38	 0.21	 0.16	-0.22	 0.90	-0.38	-0.07	-0.17																										 0.23	-0.79		-0.29	-0.07	-0.25	-0.29	-0.56	-0.67	-0.64	-0.56	-1.12	-1.60	-0.86	 0.32	 1.86	-0.15	-0.32	 0.15	-0.43	-0.04	 0.21	 0.23	 0.23	-0.14	 0.20	-0.18	-0.71	-0.17	 0.26	 0.01	 0.03	-0.09	-0.30	-0.47	-0.69	-0.67
YMR212C	-0.03	-0.32	-0.36	-0.25	-0.18	-0.32	-0.25	-0.32	-0.10	-0.23	 0.16	 0.04	-0.01	-0.30	-0.15	 0.03	-0.38	-0.17	 0.26	 0.08	-0.17	-0.34	-0.10	 0.01	 0.56	-0.07	 0.11	-0.69	-0.64	 0.12	-0.43	 0.40	-0.20	-0.45	 0.90	-0.23	-0.18	-0.38	 0.66	-0.64	-0.43	-0.62	-0.64	-0.64	-0.45	-0.25	-0.25	-0.03	-0.15	-0.07	-0.32	-0.07	-0.18	-0.12	-0.14	-0.23	-0.30	 0.11	 0.46	 0.06	-0.17	-0.47	-0.38	-0.27	-0.64	-0.62	-0.74	-0.20	-0.47	-0.47	-0.32	-0.32	-0.40	 0.40	-0.01	 0.20	-0.03	-0.09	-0.64	-1.06
YOR394W	-0.23	 0.00	-0.01	 0.00	 0.03	-0.15	-0.09	-0.29	-0.25	-0.74	-0.32	-0.10	-0.23	-0.49	-0.18	-0.32	-0.97	 0.16	-0.40	-0.06	 0.15	 0.30	-0.81	 0.61	-0.10	 0.55	-0.51	-0.45	 0.54	 0.01	 0.46	-0.36	 0.49	 0.38	-0.45	 0.16	-0.36	 0.46	-0.64	-0.62	 0.11	 0.07	 0.14	-0.18	-0.45	-0.17	-0.54	 0.01	-0.07	-0.12	-0.15	-0.07	-0.51	-0.22	-0.30	-0.07	-0.27	-0.81	-1.15	-0.15	-0.25	 0.49	-0.03	 0.08	 0.77	 0.58	 0.40	 0.10	 0.29	 0.10	-0.09	 0.73	 0.12	 0.18	 0.43	 0.50	 0.26	 0.31	 0.59	 0.29
YDR249C	 1.06	 0.08	 0.04	-0.15	 0.03	-0.32	-0.34	-0.07	 0.37	-0.06	 0.20	-0.18	-0.10	-0.36	-0.15	-0.15	-0.22	-0.03	 0.19	 0.10	 0.01	-0.51	 0.39	-0.09	 1.79	 0.14	 0.78	 0.10	-0.03	 0.51	-0.03	 0.32	-0.23	-0.34	 0.57	-0.20	-0.43	 0.01	 0.85	 0.67	 0.00	-0.17	 0.00	-0.64	-0.60	-0.27	-0.23	-0.14	-0.22	-0.14	-0.25	-0.27	-0.20	-0.25	-0.34	-0.15	-0.25	-0.04		 0.21	-0.43	-1.00	-0.76	-0.86	-0.30	 0.16	 0.25	-0.56	 0.76	 0.11	-0.64	-0.34	 0.70	 0.00	 0.24	 0.33	-0.06	-0.60	-0.29	-0.27
YLR160C	 0.07	-0.04	 0.12	-0.10	 0.06	-0.32	 0.21	-0.25	-0.17	-0.29	-0.42	-0.36	 0.23	-0.32	 0.16	-0.54	 0.38	-0.22	-0.18	-0.47	-0.10	 0.37	 0.33	 0.62	 0.06	 0.34	 0.26	-1.25	 0.32	-0.01	 0.46	 0.15	 0.74	 0.04	-0.04	 0.40	 0.29	 0.48	-0.09	-0.03	 0.18	 0.11	 0.21	 0.49	-0.18	-0.09	-0.49	-0.15	 0.08	 0.11	 0.28	 0.34	 0.23	-0.01	 0.15	 0.04	 0.14	 0.00	 1.42	-0.74	 1.11	-0.74	-0.60	-0.92	-0.58	-0.42	-0.81	 0.06	 0.03	 0.08	 0.21	-0.42	 0.15	-0.27	-0.25	 0.28	 0.10	 0.28	 0.41	-0.10
YLR233C	-0.23	-0.40	 0.10	 0.18	 0.19	-0.18	 0.03	-0.04	-0.42	-0.32	-0.15	 0.04	-0.03	-0.51	 0.03	-0.10	-0.01	-0.25	 0.10	 0.32	 0.39	-0.29	-0.18	-0.45	-0.45	-0.43	-0.17	-0.14	-0.25	-0.17	-0.12	-0.23	-1.06	-0.43	 0.03	-0.94	-0.47	-0.76	-0.47	 0.00	-0.38	-0.42	-0.47	-0.76	-0.30	-0.42	-0.49	-0.30	-0.29	-0.43	-0.29	 0.04	-0.32	-0.32	-0.27	-0.07	-0.32	 0.56	 0.91	-0.15	-0.38	-0.40	 0.45	 0.28	 0.21	 0.31	-0.17	 0.07	-0.51	-0.60	 1.03	 0.84	-0.10	-0.12	 0.20	 0.31	 0.10	 0.31	 0.31	 0.55
YGR040W	 0.10	 0.00	 0.01	-0.10	-0.15	-0.07	-0.29	-0.10	-0.07	-0.34	 0.14	 0.21	 0.16	 0.38	 0.08	 0.11	-0.10	 0.01	 0.44	 0.26	 0.21	-0.06	-0.10	-0.29	-0.15	-0.10	 0.04	 0.40	 0.00	-0.07	 0.06	-0.01	-0.32	 0.04	 2.53	-0.74	-0.09	-0.43	 0.16	-0.23	-0.07	-0.17	-1.09	-0.94	-0.45	 0.08	 0.26	 0.24	 0.18	 0.15	 0.07	-0.54	 0.01	 0.34	 0.01	 0.11	 0.29	 0.00	 0.90	 0.06	-0.09	-0.34	-0.43	 0.11	-0.67	-0.86	-0.36	-0.10	-0.74	-0.74	-0.23	-0.12	-0.47	-0.12	 0.11	 0.55	-0.12	-0.38	 0.19	-0.04
YGR113W	-0.89	-0.42	-0.76	-0.36	-0.27	 0.10	-0.17	-0.17	-0.27	-0.09	-0.60	-0.51	-0.17	-0.14	-0.23	 0.04	-0.30	-0.40	-1.00	-0.51	 0.11	 0.58	 0.00	-0.34	-0.01	-0.74	-0.60	 0.19	-0.62	-0.15	-0.07	-0.17	-0.10	 0.75	 0.64	 0.07	-0.30	-0.29	 0.19	 0.19	-0.54	-0.54	-0.29	 0.10	-0.34	 0.26	-0.45	-0.43	-0.43	-0.30	 0.08	-0.06	-0.17	-0.04	-0.18	-0.22	-0.29	 0.26	 1.17	-0.07	 0.06	 0.40	 1.03	 0.64	 0.74	 0.30	 0.38	 0.08	-0.34	-1.15	 1.74	 1.31	-0.64	-0.14	-0.34	 0.04	-0.22	-0.23	 0.07	-0.56
YCRX11W	 0.01	-0.25	 0.04	-0.15	-0.09	-0.18	 0.18	-0.14	-0.03	 0.07	 0.01	 0.18	 0.00	-0.10	-0.27	-0.14	-0.15	-0.17	-1.22		-0.30	-0.94	 0.60	-1.43	 0.60	-1.84	 0.00		-2.47	-0.14		 0.58	-0.58	-0.56	 1.56	-2.32	-0.15	-3.64	 0.84		-1.22	-0.07	-1.12	-0.40	 0.04	-0.32	-0.25	-0.30	-0.30	-0.30	 0.16	 0.12	 0.08	-0.06	 0.30	 0.00	 0.26	 0.14	 0.19	 0.12	-0.09	-0.18	-0.30	-0.17	 0.12	-0.03	 0.01	-0.22	-0.03	-0.34	 0.24	 0.54	-0.12	-0.01	-0.07	 0.03	-0.17	-0.32	-0.92	-1.00
YDR176W	-0.12	-0.22	-0.17	-0.18	 0.03	-0.40	 0.07	-0.27	 0.07	 0.07	 0.16	-0.04	 0.00	-0.47	-0.15	-0.22	-0.01	-0.17	-0.56	-0.32	-0.17	-0.27	 0.06	-0.27	-1.18	-0.45	-1.32	 0.29	-0.40	-0.56	-0.58	-0.86	-0.76	-0.17	-0.67	 0.08	-1.29	-0.40	-1.09	-0.74	 0.06	-0.18	-0.06	 0.15	-0.60	-0.30	 0.01	-0.23	-0.01	 0.04	-0.06	 0.19	 0.08	-0.17	-0.07	-0.45	-0.10		 1.90	-0.15	-0.34	-0.60	-0.71	-0.36	-0.34	-0.17	 0.14	-0.06	 0.03	 0.28	-0.12	-0.04	-0.36	-0.38	-0.25	 0.29	 0.06	-0.22	 0.51	-0.03
YDL072C	 0.29	 0.42	 0.39	-0.01	 0.12	-0.27	 0.24	-0.45	-0.23	-0.25	-0.40	-0.45	-0.18	-0.76	-0.09	-0.42	-0.25	-0.43	-0.67	-0.94	-0.03	 0.50	 0.29	 0.28	-0.42	 0.04	 0.31	-0.40	 0.31	 0.37	 0.58	 0.80	 0.96	 0.16	 0.42	 0.20	 0.69	 0.28	 0.54	 0.54	 0.50	 0.52	 0.61	 0.78	-0.06	-0.06	-0.62	-0.74	-0.67	-0.62	-0.01	 0.10	-0.15	-0.06	 0.16	 0.32	 0.29	-0.23	-0.34	-0.04	 0.00	 0.38	-0.54	-1.12	-1.43	-1.06	-0.69	 0.85	-0.38	 0.21	-0.18	-0.30	-0.03	 0.00	 0.14	 0.37	 0.46	 0.50	 1.44	 0.42
YDL145C	-0.34	-0.58	-0.22	-0.03	-0.12	-0.14	-0.10	 0.20	-0.18	-0.42	-0.32	-0.15	-0.36	 0.03	 0.12	-0.14	-0.15	-0.22	-0.23	-0.62	 0.16	-0.14	 0.04	-0.17	-0.30	-0.27	-0.06	-0.40	-0.23	-0.38	-0.27	 0.01	 0.16	-0.17	-0.38	-0.23	 0.34	-0.64	 0.38	-0.34	-0.60	-0.49	-0.74	-1.09	-0.69	-0.86	-0.92	-0.29	-0.32	-0.06	-0.14	 0.34	 0.29	-0.47	 0.37	-0.07	-0.56	 0.81	 0.57	-0.15	-0.32	-0.40	-0.17	-0.49	-1.00	-1.36	-1.22	 0.18	-0.64	-0.42	-0.27	-1.25	-0.29	 0.07	 0.20	-0.07	-0.22	-0.27	-1.03	-1.03
YLR306W	-0.23	-0.30	-0.17	-0.27	-0.01	 0.11	 0.14	-0.22	-0.27	-0.25	-0.30	-0.34	 0.01	-0.42	-0.10	-0.49	-0.45	-0.23	-0.18	 0.11	 0.29	-0.09	-0.15	-0.03	-0.06	-0.69	-0.32	-0.38	-0.06	-0.17	 0.40	-0.20	-0.81	-0.18	 0.26	-0.09	-0.18	-0.15	-0.22	 0.44	 0.00	 0.03	-0.06	-0.29	-0.47	-0.38	-0.38	-0.27	-0.23	-0.36	-0.32	-0.38	-0.64	-0.40	-0.30	-1.06	-0.51	-0.01	 0.62	-0.64	-0.51	 0.58	-0.14	-0.51	-0.51	-0.58	-0.56	 0.51	-0.71	-0.30	 0.41	 0.19	-0.12	-0.32	-0.36	 0.01	-0.01	-0.06	 0.50	 0.03
YPL059W	-0.09	-0.42	 0.26	 0.06	 0.14	 0.15	 0.15	 0.00	 0.04	-0.18	 0.39	-0.45	-0.10	-0.36	 0.20	-0.56	 0.24	-0.27	-0.32	-0.56	-0.56	-0.60	 0.28	-0.09	-0.36	-0.07	 0.03	-0.10	 0.12	-0.03	 0.25	 0.14	-0.15	 0.04	 0.01	-0.07	-0.25	 0.33	 0.06	 0.25	-0.14	 0.01	 0.20	-0.42	-0.84	-0.67	-0.60	-0.47	-0.94	-0.60	-0.45	-0.18	-0.40	-0.69	 0.03	-0.14	-0.27	-0.40	-0.20	-0.62	-0.51	-0.15	 0.16	 0.71	 1.45	 0.90	 0.66	-0.27	 0.58	 0.01	-0.09	 0.80	 0.52	 0.03	-0.22	 0.11	-0.09	 0.14	 0.39	-0.17
YGR114C	 0.15	-0.20	 0.11	-0.07	 0.06	 0.16	-0.20	 0.28	 0.19	-0.29	 0.49	-0.03	 0.04	 0.20	 0.14	 0.15	 0.04	-0.18	-0.18	-0.09	-0.10	-0.34	-0.56	-0.49	-0.84	-0.40	-1.09	-0.42	-0.43	-0.79	-0.51	-1.00	-0.45	-0.51	-1.18	-0.43	-1.15	-0.34	-1.09	-1.12	-0.25	-0.56	-0.47	 0.55	-0.23	 0.01	-0.10	 0.18	-0.07	 0.15	-0.09	-0.18	-0.27	-0.03	-0.36	-0.89	-0.01	 0.04		-0.17	-0.06	-0.49	-0.42	-0.47	-0.60	-0.14	-0.03	-0.29	-0.18	 0.14	-0.62	-0.67	 1.27	-0.15	-0.10	 0.07	 0.06	-0.09	 0.00	-0.23
YJL171C	 0.15	-0.14	 0.51	-0.18	 0.23	-0.03	 0.53	 0.11	 0.07	-0.64	-0.34	-0.42	-0.27	-0.54	 0.23	-0.09	 0.36	-0.25	 0.14	-0.14	 0.57	 0.84	 1.41	 0.82	 0.60	 0.18	 0.82	-0.42	 0.52	 0.72	 0.80	 1.09	 1.36	 0.48	 0.58	 0.58	 1.23	 0.48	 0.93	 0.82	 0.16	 0.40	 0.41	 0.24	-0.94	-0.81	-0.76	-0.54	-0.49	-0.25	-0.06	-0.18	-0.36	-0.14	 0.03	 0.11	-0.34	 0.45	 0.04	-0.84	-0.62	-1.00	-1.84	-2.25	-2.74	-2.18	-2.47	 0.61	-0.89	-0.60	-1.84	-2.64	-1.29	-0.25	 0.28	 0.58	 0.84	 0.81	 1.25	-0.01
YDR533C	 0.25		 0.82	 0.82	 0.43	 0.45	 0.20	 0.18	 0.24	-0.32	 0.04	-0.20	 0.23	-0.04	 0.18	 0.28	-0.18	-0.20	 1.01	 0.29	 0.01	-0.30	-0.14	-0.27	 0.08	-0.34	 0.32	 0.40	-0.20	-0.40	 0.15	 0.14	 0.11	 0.20	-0.01	 0.20	-0.34	 0.60	 0.76	 0.44	 0.64	 0.80	 1.38	 0.77	 0.01	 0.63	 0.39	-0.42	-0.67	-0.79	-0.45	-0.45	-0.47	-0.42	-0.06	 0.21	 0.00	-0.14		-0.62	-0.30	-0.49	 0.06	 0.11	 1.06	 1.38	 1.94	-0.09	 0.75	 1.15	 0.41	 0.63	 1.10	-0.07	 0.06	 0.58	 0.42	 0.01	 2.78	 2.36
YER083C	 0.08	-0.30	 0.03	-0.04	-0.03	-0.38	 0.19	-0.30	 0.03	-0.09	-0.22	-0.38	 0.07	-0.40	-0.07	-0.47	-0.12	-0.40	-0.04	-0.17	-0.04	 0.03	 0.40	 0.25	 0.86	 0.16	 0.41	 0.64	-0.42	-0.12	 0.41	-0.17	-0.07	 0.04	-1.03	 0.03	 0.66	 0.21	 0.33	 1.12	-0.18	-0.09	 0.00	 0.24	 0.04	-0.18	-0.47	-0.23	-0.36	-0.20	-0.07	-0.07	-0.12	-0.10	 0.18	-0.20	-0.06	-0.12	 0.96	-0.56	-0.34	 0.24	 0.36	 0.51	 0.40	 0.00	-0.12	-0.18	 0.00	 0.07	 0.10	 0.40	 0.18	 0.03	-0.06	 0.67	 0.00	-0.14	 0.60	 0.21
YER156C	-0.40	-0.86	-0.62	-0.51	-0.38	-0.54	-0.15	-0.15	-0.18	-0.36	-0.45	-0.43	-0.34	-0.22	-0.40	-0.43	-0.10	-0.54	 0.15	 0.39	 0.24	 0.01	-0.18	 0.14	-0.15	 0.08	-0.45	-0.67	 0.25	-0.56	 0.06	-0.81	-0.32	-0.20	-1.36	 0.04	-0.58	 0.12	-0.94	-0.76	 0.00	-0.34	-0.42	-1.06	-0.51	-0.43	-0.10	 0.67	 0.42	 0.48	 0.33	 0.15	 0.04	 0.21	-0.06	-0.54	-0.07	 0.29	 0.39	-0.79	-0.34	 0.18	 0.43	 0.91	 0.61	 0.32	 0.21	-0.67	-0.32	 0.03	 0.34	 0.42	-0.38	 0.15	 0.04	 0.48	-0.22	-0.29	-0.38	-0.56
YFL030W	 0.00	 0.10	 0.65	-0.06		-0.27	-0.01	-0.15	-0.14	-0.03	-0.23	-0.07	-0.06	-0.22	-0.18	-0.34	 0.04	-0.29	-0.47	-0.23	-0.12	-0.03	 0.20	 0.16	 0.57	-0.14	 0.01	-0.04	-0.30	 0.08	-0.32	 0.11	-0.74	-0.27	 0.55	-0.06	 0.49	-0.15	 0.93	 0.23	-0.22	-0.20	 0.01	-0.17	 0.53	 0.43	 0.48	 0.06	-0.18	-0.07	 0.25	 0.58	 0.40	 0.19	 0.86	 0.53	 0.50	-0.06	 0.00	 0.08	-0.14	-1.03		-0.07	-0.40	-1.12	-1.56	 0.04	-0.40	-1.18	-1.94	-1.43	 0.34	-0.81	-0.47	 0.18	-0.27	 0.03	 1.06	 2.27
YEL051W	-0.06	-0.20	-0.25	-0.07	-0.30	 0.07	-0.43	 0.19	 0.30	-0.30	 0.18	 0.01	 0.01	-0.25	 0.04	 0.40	-0.10	 0.06	-0.15	 0.04	 0.16	 0.11	-0.06	 0.00	-0.22	 0.00	-0.58	 0.38	-0.04	-0.34	-0.03	-0.45	-0.07	 0.28	-0.60	 0.11	-0.86	 0.18	-0.62	-0.84	 0.51	 0.36	 0.74	 0.70	-0.03	 0.12	 0.07	 0.00	-0.01	 0.01	-0.09	-0.45	-0.27	 0.01	-0.17	-0.14	-0.20	 0.40		 0.45	 0.12	 0.03	 0.19	-1.09	-1.09	-0.92	-0.89	 1.01	-0.01	 0.07	-0.23	-1.22	 1.28	 0.41	 0.32	 0.88	 0.45	 0.21	 0.40	-0.38
YAR015W	 0.10	 0.49	 0.15	-0.10	-0.23	-0.54	-0.20	-0.12	 0.60	 0.23	-0.03	 0.19	-0.14	 0.08	 0.26	 0.56	 0.26	 0.14	-0.04	-0.38		-0.15	 0.14	-0.04	 0.88	 0.42	 0.77	 0.98	 0.43	 0.19	 0.24	 0.43		 0.31	 0.46		 0.44	 0.58	 1.05	 0.87	 0.74	-0.18	-0.94	-0.10	 0.10		 0.11	 0.28	-0.47	-0.18	-0.01	 0.04	 0.29	 0.00	 0.37	 0.01	-0.12	-1.29		-0.38	 0.11	-1.51	-1.40	-1.36	-1.84	-1.89	-2.00	 0.32	-0.67	-0.49	-2.06	-2.64	 0.74	 0.01	 0.69	 1.03	 0.80	 0.82	-0.20	-0.64
YDL218W	-0.20	-0.15	 0.40	 0.26	 0.08	-0.34	-0.20	-0.22	 0.00	-0.34	-0.17	-0.06	-0.01	-0.27	-0.32	 0.15	 0.24	-0.23	-0.67	 0.29	-0.47	 0.03	 0.00	-0.43	 0.78	 0.06	 0.24	 0.41	-0.23	 0.21	 0.76	 0.37	-0.06	 0.75	 0.25	 0.06	 0.15	 0.26	 0.55	 1.12	-1.43	-0.32	-0.40	-0.30	 0.31	 0.26	 0.10	-0.15	-0.74	-0.20	 0.16	 0.31	-0.17	-0.58	-0.15	 0.54	 0.43	-0.29	-0.10	-0.62	 0.19	-0.25	-0.18	-0.47	-0.60	-0.36	-0.71	-0.03	 0.26	 0.29	 0.29	-0.09	 1.33	-0.34	 0.36	-0.10	-0.38	-0.34	 1.25	 1.50
YHR020W	-0.62	-1.06	-0.51	-0.40	-0.01	-0.38	 0.26	-0.15	 0.14	-0.01	 0.06	 0.11	 0.23	-0.01	 0.23	 0.23	 0.11	 0.10	-0.22	-0.04	 0.03	 0.14	 0.34	 0.07	-0.10	-0.03	 0.03	-0.36	-0.04	-0.40	-0.22	-0.36	-0.22	-0.36	-0.92	-0.30	-0.30	-0.29	-0.42	-0.38	-0.47	-0.64	-0.69	-1.47	-0.32	-0.23	 0.00	 0.50	 0.33	 0.40	 0.56	 0.55	 0.62	-0.09	 0.07	-0.22	-0.14	 0.25	 0.07	-0.56	-0.40	-1.18	-0.86	-0.14	 1.34	 1.57	 0.89	-1.18	 1.30	 0.89	-2.32	-2.40	 1.58	-0.12	-0.07	-0.12	-0.12	-0.10	-0.67	
YKL150W	-0.09	 0.67	 0.50	-0.30	-0.09	-0.03	 0.00	-0.14	-0.22	-0.01	-0.03	-0.10	-0.07	-0.43	 0.03	-0.40	-1.43	-0.38	 0.00	-0.09	 0.30	 0.93	 0.19	 1.03	 0.42	 0.93	 0.19	-0.15	 1.18	 0.04	 0.83	-0.07	 0.42	 0.80	-0.74	 0.72	-0.34	 0.93	-0.30	 0.23	 1.24	 1.17	 1.45	 0.60	 0.03	 0.49	 0.08	 0.32	 0.16	-0.20	 0.43	 0.24	 0.08	 0.29	 0.38	 0.49	 0.40	-0.18	-0.60	 0.46	-0.15	-0.94	-0.51	-1.32	-2.18	-2.47	-1.69	 1.33	-1.09	-0.62	-1.56	-2.12	 0.32	 0.08	 0.23	 0.10	 0.41		 1.77	 1.44
YGR041W	-2.12	-1.22	-0.84	-0.89	-1.51	-0.71	-1.94	-2.06	-1.74	-0.74	-0.01	 0.70	 0.04	-0.30	-0.67	-0.56		-1.00	-0.20	 0.82	-0.18	-0.74	-0.62	-1.29	-0.84	-1.25	-0.06	-0.23	 0.48	 0.93	 0.77	 0.52	 0.39	 0.16	 0.12	-1.00	-0.64	-1.22	-0.27	-0.07	 0.33	 0.29	-0.17	-0.64	 0.04	 0.20	-0.36	-0.22	 0.07	 0.01	-0.12	-0.27	 0.23	 0.26	 0.50	 0.74	 0.81	 0.55	 0.62	-0.32	 0.10	 0.58	 0.41	-0.23	-0.43	-0.15	-0.67	 0.49	-0.34	-0.30	 0.67	 0.56	-0.84	 0.00	 0.01	 0.14	-0.38	-0.71	-0.03	-0.23
YKL223W	-0.03	 0.03	 0.29	-0.07	 0.82		 0.15	-0.34	-0.22	-0.14	 1.18	-0.17	 0.25	-0.38	 0.37	-0.03	 0.00	-0.20	 0.43	 0.32	-0.07	-0.81	-0.23	-0.67	 0.86	-0.58	-0.30	-0.51	-0.45	-0.60	-0.36	-0.09	-0.67	-0.36	 0.30	-0.97	 0.14	-0.81	 0.00	 0.49	-0.58	-0.32	-0.62	-0.47	-0.54	-0.64	-0.60	-0.29	-0.62	-0.36	-0.45	-0.43	-0.62	-0.49	-0.38	-0.71	-0.67	 0.07	 0.63	-0.69	-0.42	 0.15	 0.18	-0.12	 0.51	 0.48	 0.04	-0.32	-0.07	 0.06	 0.07	 0.32	-0.86	 0.00	-0.07	 0.08	-0.34	-0.42	-0.34	-0.49
YCRX12W	 0.38	-0.22	-0.38	-0.38	-0.09	 0.12	 0.32	 0.15	-0.04	-0.18	-0.10	-0.30	-0.01	 0.15	-0.30	 0.10	 0.14	-0.03	-0.42	-0.07	 0.99	-0.22	 0.33	-0.27	 0.30	-0.10	-0.09	 0.16	-0.18	 0.29	-0.06	 0.37	-0.64	-0.32	 0.26	-0.30	 0.11	-0.54	-0.03	-0.06	 0.07	-0.18	-0.47	-0.36	-0.45	-0.40	-0.58	-0.07	-0.04	-0.17	-0.47	-0.45	-0.43	-0.15	-0.56	-0.38	-0.38	 0.40	 1.17	-0.30	-0.42	-0.20	-0.36	-0.47	-0.76	-0.20	-0.58	-0.10	-0.45	-0.30	-0.58	 0.41	-0.84	-0.03	-0.25	 0.07	-0.23	-0.45	-0.17	-0.15
YDR460W	-0.29	-0.14	-0.30	-0.34	-0.86	 0.14	-0.22	 0.20	 0.08	 0.32	 0.00	-0.27	-0.25	-0.34	-0.94	-0.01	-0.17	 0.07																										 0.49	 0.10	 0.33	-1.03	-0.06	-0.14	 0.16	-0.23	-0.30	 0.04	 0.03	-0.06	-0.22	-0.01		 0.49	-0.30	 0.15	 0.29	 0.37	-0.07	 0.69	 0.45	 0.61	 0.25	 0.49	 0.25	 0.54	 0.70	 0.32	-0.51	-0.23	-0.03	-0.58	-0.71	 0.74	 0.00
YMR140W	 0.20	 0.07	 0.39	 0.01	 0.69	-0.07	-0.03	 0.04	 0.12	-0.06	 0.86	-0.01	-0.07	-0.29	 0.23	-0.06	 0.32	-0.32	-0.07	-0.10	-0.20	-0.14	-0.17	 0.01	-0.71	-0.25	-0.40	 0.26	 0.16	-0.36	-0.01	-0.40	-0.36	-0.25	-0.30	-0.36	-0.17	-0.38	-0.32	 0.04	 0.37	 0.29	 0.20	 0.85	-0.09	-0.45	-0.45	-0.60	-1.22	-0.71	-0.34	-0.25	-0.60	-0.76	-0.03	-0.17	-0.36	 0.10	 0.44	 0.25	-0.47	 0.08	-0.86	-0.86		-1.00	-0.74	 0.25	-0.49	-0.03	 0.07	 0.61	-0.58	-0.09	-0.17	-0.30	-0.43	-0.32	 0.58	 0.99
